Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Actual Dates:End Date,Planned Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Street Address,Recipient Org:City,Recipient Org:Postal Code,Recipient Org:Description,Recipient Org:Web Address,Beneficiary Location:0:Name,Beneficiary Location:0:Country Code,Beneficiary Location:0:Latitude,Beneficiary Location:0:Longitude,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Latitude,Beneficiary Location:1:Longitude,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Latitude,Beneficiary Location:2:Longitude,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Latitude,Beneficiary Location:3:Longitude,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Latitude,Beneficiary Location:4:Longitude,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Funding Org:Identifier,Funding Org:Name,Funding Org:Department,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,From an open call?,Related Activity,Last modified,Data Source
360G-zing-38,Core funding for programme growth in Africa,Core funding to support their programme growth in transforming education in Africa to teach youth to solve poverty for themselves and their communities,USD,50000,50000,50000,2015-09-01,https://www.experienceeducate.org/,2015-09-01,2016-09-01,2016-09-01,12,US-EIN-84-1648607,Educate!,EIN 84-1648607,,P.O. Box 12302,Denver,80212,Transform education in Africa to teach youth to solve poverty for themselves and their communities by developing young leaders and entrepreneurs in Africa.,https://www.experienceeducate.org/,Uganda,UG,,,,,Rwanda,RW,,,,,Kenya,KE,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-39,Assembly School MIS development,"Funding to develop Assembly: a secure, cloud-based platform that connects to schools' Management Information Systems and extracts key elements of school data",GBP,143000,143000,143000,2015-09-01,https://assembly.education/,2015-09-01,2016-09-01,2016-09-01,12,GB-CHC-1095322,ARK Schools,1095322,05112090,65 Kingsway,London,WC2B 6TD,"Ark is an international organisation whose purpose is to transform children's lives. All children derserve a great education - to allow them to achieve their potential and follow their dreams. They run 34 schools in the UK, and have launched their first school in Delhi, India. They want their work to benefit more children, so they operate beyond the confines of their own schools to share models that work, and to strengthen and improve education systems. ",http://arkonline.org/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-40,Core funding to develop the Spear Course model,Core funding to further develop the Spear Course programme as it moves to Phase 3 of the Impetus-PEF process,GBP,60000,60000,60000,2015-10-01,http://www.resurgo.org.uk/,2015-10-01,2016-10-01,2016-10-01,12,GB-CHC-1100885,Resurgo Trust,1100885,04670794,"St Paul's Place, Macbeth St",London,W6 9JJ,Resurgo's main initiative Spear bridges the gap between unemployed young people and businesses,http://www.resurgo.org.uk/,London,GB,,,E12000007,RGN/GOR,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-41,Core funding to develop the Spear Course model,Core funding to further develop the Spear Course programme as it moves to Phase 3 of the Impetus-PEF process,GBP,15000,15000,15000,2015-11-01,http://www.resurgo.org.uk/,2015-11-01,2016-11-01,2016-11-01,12,GB-CHC-1100885,Resurgo Trust,1100885,04670794,"St Paul's Place, Macbeth St",London,W6 9JJ,Resurgo's main initiative Spear bridges the gap between unemployed young people and businesses,http://www.resurgo.org.uk/,London,GB,,,E12000007,RGN/GOR,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-42,Institute for Teaching seed funding,Seed funding for a new higher education institution with a mission to train and develop expert teachers who work where they are needed most,GBP,25000,25000,25000,2015-11-01,https://ift.education,2015-12-01,2016-12-01,2016-12-01,12,GB-CHC-800065,Institute for Public Policy Research,800065,02292601,13-14 Buckingham Street,London,WC2N 6DF,Institute for Teaching's mission is to train and develop expert teachers who work where they are needed most.,https://www.ippr.org/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-43,VIP programme,Funding to further scale the Village Investor Programme (VIP) which enables communities to economically support vulnerable children for the long term.,GBP,105000,105000,105000,2016-01-01,https://www.weseehope.org.uk,2016-01-01,2017-01-01,2017-01-01,12,GB-CHC-1079385,We See Hope,1079385,03926278,79 Craven Gardens,London,SW19 8LU,"We See Hope is helping some 50,000 vulnerable children and young people through some 40 partner organisations in 400 communities in sub-Saharan Africa. They are defined by: Productive partnerships; Investment; Enterprise and innocation; Being positive and passionate about potential.",https://www.weseehope.org.uk/,Kenya,KE,,,,,Malawi,MW,,,,,Tanzania,TZ,,,,,Uganda,UG,,,,,Zimbabwe,ZW,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-44,Entrepreneur Panel programme and M-Saathi mobile application,Funding towards the Entrepreneur Panel and the M-Saathi mobile app,GBP,20900,20900,20900,2016-07-01,http://www.restlessdevelopment.org/,2016-07-01,2017-07-01,2017-07-01,12,GB-CHC-1127488,Restless Development,1127488,06741123,7 Wootton Street,London,SE1 8TG,Restless Development are the youth-led development agency. Their staff and volunteers are experts in youth-led development. The organisation is driven forward by young people and young professionals around the world.,http://restlessdevelopment.org/,Tanzania,TZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-45,Lead developer core funding,Core funding to support the hiring of a Lead Developer to redevelop the FF platform,GBP,25000,25000,25000,2016-07-01,https://futurefirst.org.uk/,2016-07-01,2017-01-01,2017-01-01,6,GB-CHC-1135638,Future First,1135638,,338 City Road,London,EC1V 2PY,"Future First have a vision that every state secondary school and college should be supported by a thriving, engaged alumni community that helps each one to do more for its students. ",https://futurefirst.org.uk/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-46,Seed funding to pilot solutions to education inequality,"Seed funding to develop, pilot and scale solutions to education inequality",GBP,25000,25000,25000,2016-03-01,http://www.righttosucceed.org.uk/,2016-03-01,2017-03-01,2017-03-01,12,GB-CHC-1160886,Right To Succeed,1160886,08689873,4 More London Riverside,London,SE1 2AU,"Our vision is that the only barriers to success should be hard work and focus. We therfore aim to eliminate the effects of poverty and system failure upon the achievement of young people, giving every child the Right to Succeed.",http://righttosucceed.org.uk/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-47,Core funding for programme growth,"Core funding to support the growth of their programme to equip young people with the skills, experiences and aspirations they need to succeed in life",GBP,25000,25000,25000,2016-03-01,http://www.enablingenterprise.org/,2016-03-01,2017-03-01,2017-03-01,12,GB-COH-06945061,Enabling Enterprise,,06945061,"18 Victoria Park Square, Bethnal Green",London,E2 9PF,"Enabling Enterprise is an award-winning not-for-profit social enterprise, set up by a team of teachers in 2009. Our mission is to equip young people with the skills, experiences and aspirations they need to succeed in life. Without a balanced approach to academics and life skills, young people will be ill equipped for the next stage of their lives - a fact reflected in the growing youth unemployment rate, and summaried in a Sunday Times headlines as ""schools are churning out the unemployable"".",http://enablingenterprise.org/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-48,Institute for Teaching seed funding,Seed funding for a new higher education institution with a mission to train and develop expert teachers who work where they are needed most,GBP,50000,50000,50000,2016-12-01,https://ift.education/,2016-12-01,2017-12-01,2017-12-01,12,GB-CHC-1095322,ARK Schools,1095322,05112090,65 Kingsway,London,WC2B 6TD,"Ark is an international organisation whose purpose is to transform children's lives. All children derserve a great education - to allow them to achieve their potential and follow their dreams. They run 34 schools in the UK, and have launched their first school in Delhi, India. They want their work to benefit more children, so they operate beyond the confines of their own schools to share models that work, and to strengthen and improve education systems. ",http://arkonline.org/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-49,Teaching Assistant CPD programme seed funding,Seed funding for a highly innovative professional development programme for Teaching Assistants,GBP,20000,20000,20000,2016-01-01,http://www.inclusiveclassrooms.co.uk/,2016-01-01,2017-01-01,2017-01-01,12,GB-COH-09626570,Inclusive Classrooms,,09626570,338 City Road,London,EC1V 2PY,"Inclusive Classrooms works with primary schools across England to transforming the efficacy of their Teaching Assistants (TAs). They offer the only UK based, ‘on the job’ professional development and training programme that focuses specifically on the role of Teaching Assistants.",http://www.inclusiveclassrooms.co.uk/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-50,Assembly School MIS development,"Funding to develop Assembly: a secure, cloud-based platform that connects to schools' Management Information Systems and extracts key elements of school data",GBP,101000,101000,101000,2016-12-01,https://assembly.education/,2016-09-01,2017-09-01,2017-09-01,12,GB-CHC-1095322,ARK Schools,1095322,05112090,65 Kingsway,London,WC2B 6TD,"Ark is an international organisation whose purpose is to transform children's lives. All children derserve a great education - to allow them to achieve their potential and follow their dreams. They run 34 schools in the UK, and have launched their first school in Delhi, India. They want their work to benefit more children, so they operate beyond the confines of their own schools to share models that work, and to strengthen and improve education systems. ",http://arkonline.org/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-51,Matched core funding for the iWill campaign team,Matched core funding to support the team in acheiving the ambitious goals of the iWill Campaign,GBP,25000,25000,25000,2016-05-01,https://www.iwill.org.uk/,2016-05-01,2017-05-01,2017-05-01,12,GB-CHC-1154588,Step Up To Serve,1154588,08729271,202 Lambeth Road,London,SE1 7JW,"#iwill is a national campaign that aims to make social action part of life for as many 10 to 20 year-olds as possible by the year 2020. Through collaboration and partnership it is spreading the word about benefits of oyuth social action, working to embed it in the journey of young people and creating fresh opportunities for the participation. The campaign is being coordinated by the charity Step Up To Serve, governed by an independent board and had cross-party support. ",https://www.iwill.org.uk/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-52,Pilot funding for alumni fundraising in schools,Funding for small pilot related to alumni fundraising in schools,GBP,1350,1350,1350,2012-02-01,https://futurefirst.org.uk/,2012-02-01,2012-03-01,2012-03-01,1,GB-CHC-1135638,Future First,1135638,,338 City Road,London,EC1V 2PY,"Future First have a vision that every state secondary school and college should be supported by a thriving, engaged alumni community that helps each one to do more for its students. ",https://futurefirst.org.uk/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-53,"""My Best Life"" youth sector digital priorities research","Co-seed funding with Paul Hamlyn Foundation, NPC and The Mix for researching the priorities for digital technology in the youth sector. This is a user-centred mapping out of a young person's journey moving towards their 'Best Life'",GBP,15000,15000,15000,2017-03-01,https://www.thinknpc.org/resource-hub/my-best-life-priorities-for-digital-technology-in-the-youth-sector/,2017-03-01,2017-12-01,2017-12-01,9,GB-CHC-1091450,NPC,1091450,04244715,185 Park Street,London,SE1 9BL,"NPC is in a unique positin to understand and influence the charity sector. Our team brings the practical insights and knowledge we have gained over 13+ years advising charities, social enterprises, grant-makers, donors and corporate clients.  

We combine this with our perspective as an indepent think tank, which gives us an overview of future trends, the latest thinking on how to improve the impact of charities and their funders, and insights on the issues that matter to the sector.

We're a registered charity and we share your passion for making the efforts, energy, and resources of charities go further. ",https://www.thinknpc.org/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-54,Horizon 2.0 platform development,Towards the development of Horizon 2.0 platform for the mapping out of youth social action across England & Wales,GBP,35000,35000,35000,2017-04-12,http://www.generationchange.org.uk/,2017-05-01,2018-05-01,2018-05-01,12,GB-CHC-1158567,Generation Change,1158567,08595580,58 - 62 White Lion Street,London,"N1 9PP
","Generation Change facilitates a partnership of 17 of the UK's leading youth social action organisations - who are transforming British society by empowering more than half a million young people each year to take action in thousands of postcodes in every part of the country. Young people on Generation Change programmes are tackling issues ranging from educational disadvantage, bullying and community cohesion to sustainability, homelessness, and age-related isolation. ",http://www.generationchange.org.uk/,England and Wales,GB,,,K04000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-55,Core funding for programme growth in Africa,Core funding to support their programme growth in transforming education in Africa to teach youth to solve poverty for themselves and their communities,USD,50000,50000,50000,2017-02-01,https://www.experienceeducate.org/,2017-02-01,2017-12-01,2017-12-01,10,US-EIN-84-1648607,Educate!,EIN 84-1648607,,P.O. Box 12302,Denver,80212,Transform education in Africa to teach youth to solve poverty for themselves and their communities by developing young leaders and entrepreneurs in Africa.,https://www.experienceeducate.org/,Uganda,UG,,,,,Rwanda,RW,,,,,Kenya,KE,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-56,Core funding for programme growth in Africa,Core funding to support their programme growth in transforming education in Africa to teach youth to solve poverty for themselves and their communities,USD,50000,50000,50000,2017-12-01,https://www.experienceeducate.org/,2018-01-01,2019-01-01,2019-01-01,12,US-EIN-84-1648607,Educate!,EIN 84-1648607,,P.O. Box 12302,Denver,80212,Transform education in Africa to teach youth to solve poverty for themselves and their communities by developing young leaders and entrepreneurs in Africa.,https://www.experienceeducate.org/,Uganda,UG,,,,,Rwanda,RW,,,,,Kenya,KE,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-57,VIP programme,Funding to further scale the Village Investor Programme (VIP) which enables communities to economically support vulnerable children for the long term.,GBP,100000,100000,100000,2017-05-01,https://www.weseehope.org.uk,2017-06-01,2018-06-01,2018-06-01,12,GB-CHC-1079385,We See Hope,1079385,03926278,79 Craven Gardens,London,SW19 8LU,"We See Hope is helping some 50,000 vulnerable children and young people through some 40 partner organisations in 400 communities in sub-Saharan Africa. They are defined by: Productive partnerships; Investment; Enterprise and innocation; Being positive and passionate about potential.",https://www.weseehope.org.uk/,Kenya,KE,,,,,Malawi,MW,,,,,Tanzania,TZ,,,,,Uganda,UG,,,,,Zimbabwe,ZW,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-58,Assembly School MIS development,"Funding to develop Assembly: a secure, cloud-based platform that connects to schools' Management Information Systems and extracts key elements of school data",GBP,77000,77000,77000,2017-10-01,https://assembly.education/,2017-10-01,2018-10-01,2018-10-01,12,GB-CHC-1095322,ARK Schools,1095322,05112090,65 Kingsway,London,WC2B 6TD,"Ark is an international organisation whose purpose is to transform children's lives. All children derserve a great education - to allow them to achieve their potential and follow their dreams. They run 34 schools in the UK, and have launched their first school in Delhi, India. They want their work to benefit more children, so they operate beyond the confines of their own schools to share models that work, and to strengthen and improve education systems. ",http://arkonline.org/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-59,Seed funding to pilot a Peace First challenge in the UK,Co-seed funding with Paul Hamlyn Foundation to bring PeaceFirst's youth social action challenge platform to the UK in pilot form,USD,28014,28014,28014,2018-02-01,https://www.peacefirst.org/,2018-02-01,2018-08-01,2018-08-01,6,US-EIN-04-3323467,Peace First,EIN 04-3323467,,"25 Kingston Street, 6th Floor",Boston,02211,Peace First is a non-profit organization dedicated to helping young people around the world to become powerful peacemakers by: investing in their ideas; providing them with tools and skills; connecting them with other awesome young people around the world; sharing their stories and impact with the world.,https://www.peacefirst.org,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-60,Seed funding for The Difference,"Seed funding to The Difference (incubated within Catch 22): a new career route, creating specialist teaching leaders positioned to drive inclusion in schools, and improve outcomes for the UK’s most vulnerable young people.",GBP,25000,25000,25000,2018-03-01,https://www.the-difference.com/,2018-03-01,2018-12-31,2018-12-31,10,GB-CHC-1124127,Catch 22,1124127,06577534,27 Pear Tree Street,London,EC1V 3AG,"The Difference is a two year programme designed to train the next generation of school leaders, upskilled in supporting pupil mental health and reducing exclusion from school. The Difference has been established to improve outcomes for excluded pupils and to reduce exclusion from school. The Difference is an award winning charity that believes that children who face harmful experiences, mental health challenges and learning difficulties deserve support, not exclusion. The majority of today's prison population were excluded when they were at school. We exist to change this story.",https://www.catch-22.org.uk,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-61,VIP programme,Funding to further scale the Village Investor Programme (VIP) which enables communities to economically support vulnerable children for the long term.,GBP,100000,100000,100000,2018-04-01,https://www.weseehope.org.uk,2018-04-01,2019-04-01,2019-04-01,12,GB-CHC-1079385,We See Hope,1079385,03926278,79 Craven Gardens,London,SW19 8LU,"We See Hope is helping some 50,000 vulnerable children and young people through some 40 partner organisations in 400 communities in sub-Saharan Africa. They are defined by: Productive partnerships; Investment; Enterprise and innocation; Being positive and passionate about potential.",https://www.weseehope.org.uk/,Kenya,KE,,,,,Malawi,MW,,,,,Tanzania,TZ,,,,,Uganda,UG,,,,,Zimbabwe,ZW,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-62,Billion Rise programme development and pilot,"Funding development of an inclusive, global participatory budgeting programme for youth, including seed funding for a pilot.",GBP,20000,20000,20000,2018-06-01,https://www.respublica.org.uk,2018-06-01,2019-06-01,2019-06-01,12,GB-COH-07081565,ResPublica,,07081565,15 Whitehall,London,SW1A 2DD,ResPublica is a British independent public policy think tank.,https://www.respublica.org.uk/,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-63,Funding the first cohort of a school community exchange programme,"Funding to run the first cohort of The Root's education programme, pairing students from state schools (intelligent and engaged young people from working class communities) and private schools (students from wealthy backgrounds, expected to be future national influencers) to build bridges across socio-economic divides.",GBP,20000,20000,20000,2019-01-31,https://rootsprogramme.org/,2019-01-31,2020-01-31,2020-01-31,12,GB-COH-11389434,The Roots Programme,,11389434,53 King Street,Manchester,M2 4LQ,"The Roots Programme is a radical new initiative that believes our society benefits if we bring together people with hugely different lives in an authentic and meaningful way. They take people from different walks of life and have them meet and eat, talk and debate matters that affect us all. There are two programme streams: working with people in positions of influence in our major institutions and leaders in the communities affected by their decisions; and state and private schools to have the creative, engaged future influencers of our country build bridges across socio-economic divides.",https://rootsprogramme.org/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-64,Matched funding for a Head of Programmes role,"Matched funding to cover the hiring of a Head of Programmes, supporting programme growth and increasing capacity to tailor the curriculum for students.",GBP,25000,25000,25000,2019-02-01,https://getfurther.org.uk/,2019-02-01,2020-02-01,2020-02-01,12,GB-COH-11513329,Get Further,,11513329,970 Garratt Lane,London,SW17 0ND,"Get Further supports students facing challenges in further education to improve their English and maths skills and gain key qualifications, so that they can realise their aspirations for education and work. They match students to a high-quality tutor – at no cost to the student – supported by a bespoke post-16 English and maths curriculum and resources that draw on the latest evidence in cognitive science to help students build their knowledge and confidence ahead of their exams.",https://getfurther.org.uk/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-65,Core funding for staff costs,Core funding for a role that will co-ordinate between Verto and the All Party Parliamentary Group on Democratic Participation.,GBP,30000,30000,30000,2019-03-18,https://www.bitetheballot.co.uk,2019-03-18,2020-03-18,2020-03-18,12,GB-CHC-1160757,Bite The Ballot,1160757,09102489,78 Duke Street,London,W1K 6JQ,"To promote and advance the education of 16-24 years olds in the UK on democracy, the eligibility to vote in the uk, voting and elections systems in the UK, and how younger citizens may actively participate in democratic life.",https://www.bitetheballot.co.uk,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-66,Tech infrastructure re-development for scale-up strategy,"Joint funding toward tech infrastructure review, scoping and development; implementing more efficient/ fit for purpose systems, and to support reaching scale across the UK.",GBP,35000,35000,35000,2019-03-19,https://www.thekeyuk.org/,2019-03-19,2020-03-19,2020-03-19,12,GB-CHC-1093569,The Key,1093569,03339120,32 Kingsway House,Gateshead,NE11 0HW,"The Key provides young people with the tools and opportunities to put their ideas into practice by facilitating young people’s participation in their tried and tested youth-led, skills development Framework. It is simple but effective and sees young people come together in little teams and, with the support of their Key Facilitator (youth worker trained to deliver the framework), think, plan, budget, pitch (to panel), do and review their very own youth-led projects. All they ask is for young people to engage their individuality, curiosity and creativity as they dream up their projects and work together to make it happen for real. Their ultimate impact goal is to inspire and support young people facing challenging circumstances to develop growth mindsets and tackle social immobility in their own unique way.",https://www.thekeyuk.org/,North East,GB,,,E12000001,RGN/GOR,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-67,Core funding for the opening of Lighthouse's first children's home,"To support the core costs of recruitment, development and technology for the opening of Lighthouse's first children's home.",GBP,25000,25000,25000,2019-05-22,https://www.thelight-house.org.uk/,2019-05-22,2020-05-22,2020-05-22,12,GB-CHC-1124127,Catch 22,1124127,06577534,27 Pear Tree Street,London,EC1V 3AG,"Lighthouse children's homes combine a strong education ethos, a stable home and excellent therapeutic support from outstanding professionals. They work to recruit and train talented graduates and experienced residential care workers to support the most vulnerable young people, and use a model of practice known as social pedagogy which is the model in place in most of Western Europe. They believe that their approach will lead to more stable placements, happier children and ultimately, better life outcomes.",https://www.catch-22.org.uk,London,GB,,,E12000007,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-68,VIP programme,Funding to continue scaling the Village Investor Programme (VIP) which enables communities to economically support vulnerable children for the long term.,GBP,105000,105000,105000,2019-04-01,https://www.weseehope.org.uk,2019-04-01,2020-04-01,2020-04-01,12,GB-CHC-1079385,We See Hope,1079385,03926278,79 Craven Gardens,London,SW19 8LU,"We See Hope is helping some 50,000 vulnerable children and young people through some 40 partner organisations in 400 communities in sub-Saharan Africa. They are defined by: Productive partnerships; Investment; Enterprise and innocation; Being positive and passionate about potential.",https://www.weseehope.org.uk/,Kenya,KE,,,,,Malawi,MW,,,,,Tanzania,TZ,,,,,Uganda,UG,,,,,Zimbabwe,ZW,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-69,Platform analytics development,"Project funding to expand upon Peace First's platform analytics, building a greater understanding of the participant user journey, including any points of attrition. This work will also enable future A/B testing of different types of intervention/support, and their effectiveness when implemented at different stages of the journey.",USD,30000,30000,30000,2019-07-31,https://www.peacefirst.org/,2019-07-31,2020-07-31,2020-07-31,12,US-EIN-04-3323467,Peace First,EIN 04-3323467,,"25 Kingston Street, 6th Floor",Boston,02211,Peace First is a non-profit organization dedicated to helping young people around the world to become powerful peacemakers by: investing in their ideas; providing them with tools and skills; connecting them with other awesome young people around the world; sharing their stories and impact with the world.,https://www.peacefirst.org,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-70,Core funding toward the start of the Young Trustee Movement,"Core funding toward the start of movement to increase the diversity of people on charity trustee boards, starting with a focus on doubling the number of young people under 30 on boards in the UK, by 2024 (currently 3%).",GBP,10000,10000,10000,2019-09-01,https://youngtrusteesmovement.org/,2019-09-01,2020-09-01,2020-09-01,12,GB-CHC-1164021,The Blagrave Trust,1164021,,"4th Floor, 18 St Cross St",London,EC1N 8UN,"Less than 3% of charity trustees are under 30. The Young Trustees Movements aims to change that, through a movement supporting youth in their preparation to become a trustee; through encouraging greater diversity at the board level; and working with recruiters to bridge between the two. The movement's initial focus is to increase age diversity, with a broader goal of increasing trustee board diversity in general.",https://www.blagravetrust.org/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-71,Core funding for recruitment of a second teacher cohort,"Seed funding toward the recruitment and training of The Difference's second cohort of leaders (now a registered charity). A new career route, creating specialist teaching leaders positioned to drive inclusion in schools, and improve outcomes for the UK’s most vulnerable young people.",GBP,30000,30000,30000,2019-09-01,https://www.the-difference.com/,2019-09-01,2020-09-01,2020-09-01,12,GB-CHC-1184843,The Difference Education Ltd,1184843,11426427,12 Mildenhall Road,London,E5 0RU,"The Difference is a two year programme designed to train the next generation of school leaders, upskilled in supporting pupil mental health and reducing exclusion from school. The Difference has been established to improve outcomes for excluded pupils and to reduce exclusion from school. The Difference is an award winning charity that believes that children who face harmful experiences, mental health challenges and learning difficulties deserve support, not exclusion. The majority of today's prison population were excluded when they were at school. We exist to change this story.",https://www.the-difference.com/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
